RFU summary across seeds:
Clients: 1
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8674, variance=0.000002
  mia_acc_before: mean=0.5822, variance=0.000063
  mia_acc_after: mean=0.5792, variance=0.000017
  feature_vote_precision: mean=0.4400, variance=0.054400
  feature_vote_recall: mean=0.4400, variance=0.054400
  feature_vote_overlap: mean=0.4400, variance=0.054400
  delta_z_precision: mean=0.6800, variance=0.025600
  delta_z_recall: mean=0.6800, variance=0.025600
  delta_z_overlap: mean=0.6800, variance=0.025600
  confidence_drop_precision: mean=0.8000, variance=0.000000
  confidence_drop_recall: mean=0.8000, variance=0.000000
  confidence_drop_overlap: mean=0.8000, variance=0.000000
  hybrid_precision: mean=0.6400, variance=0.022400
  hybrid_recall: mean=0.6400, variance=0.022400
  hybrid_overlap: mean=0.6400, variance=0.022400
  ulia_known_k_precision: mean=0.6000, variance=0.000000
  ulia_known_k_recall: mean=0.6000, variance=0.000000
  ulia_known_k_overlap: mean=0.6000, variance=0.000000
  ulia_dynamic_precision: mean=1.0000, variance=0.000000
  ulia_dynamic_recall: mean=0.2800, variance=0.009600
  ulia_dynamic_overlap: mean=0.2800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.4030, variance=0.034017
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.8000, variance=0.064000
  clip_concept_precision: mean=0.5844, variance=0.003585
  clip_weighted_coverage: mean=0.7302, variance=0.048602
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.6000, variance=0.032000
  feature_overlap@10: mean=0.6600, variance=0.002400


RFU summary across seeds:
Clients: 2
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8614, variance=0.000003
  mia_acc_before: mean=0.5772, variance=0.000010
  mia_acc_after: mean=0.5847, variance=0.000062
  feature_vote_precision: mean=0.4667, variance=0.044444
  feature_vote_recall: mean=0.4400, variance=0.054400
  feature_vote_overlap: mean=0.4400, variance=0.054400
  delta_z_precision: mean=0.9200, variance=0.025600
  delta_z_recall: mean=0.9200, variance=0.025600
