

Hessian ResNet18 unlearning summary across seeds:
Range: 1
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8701, variance=0.000003
  mia_acc_before: mean=0.5866, variance=0.000033
  mia_acc_after: mean=0.5780, variance=0.000037
  feature_vote_precision: mean=0.0000, variance=0.000000
  feature_vote_recall: mean=0.0000, variance=0.000000
  feature_vote_overlap: mean=0.0000, variance=0.000000
  delta_z_precision: mean=0.0000, variance=0.000000
  delta_z_recall: mean=0.0000, variance=0.000000
  delta_z_overlap: mean=0.0000, variance=0.000000
  confidence_drop_precision: mean=0.0000, variance=0.000000
  confidence_drop_recall: mean=0.0000, variance=0.000000
  confidence_drop_overlap: mean=0.0000, variance=0.000000
  hybrid_precision: mean=0.0000, variance=0.000000
  hybrid_recall: mean=0.0000, variance=0.000000
  hybrid_overlap: mean=0.0000, variance=0.000000
  ulia_known_k_precision: mean=0.4000, variance=0.240000
  ulia_known_k_recall: mean=0.4000, variance=0.240000
  ulia_known_k_overlap: mean=0.4000, variance=0.240000
  ulia_dynamic_precision: mean=0.4000, variance=0.240000
  ulia_dynamic_recall: mean=0.4000, variance=0.240000
  ulia_dynamic_overlap: mean=0.4000, variance=0.240000
  before_exclusive_strength_ratio: mean=0.4869, variance=0.025990
  target_label_feature_coverage: mean=1.0000, variance=0.000000
  clip_concept_coverage: mean=0.6000, variance=0.240000
  clip_concept_precision: mean=0.0495, variance=0.002445
  clip_weighted_coverage: mean=0.5410, variance=0.195554
  feature_overlap@1: mean=0.4000, variance=0.240000
  feature_overlap@5: mean=0.4000, variance=0.048000
  feature_overlap@10: mean=0.4600, variance=0.018400





RFU ResNet18 summary across seeds:
Range: 1
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8662, variance=0.000001
  mia_acc_before: mean=0.5909, variance=0.000023
  mia_acc_after: mean=0.5846, variance=0.000022
  feature_vote_precision: mean=0.2000, variance=0.160000
  feature_vote_recall: mean=0.2000, variance=0.160000
  feature_vote_overlap: mean=0.2000, variance=0.160000
  delta_z_precision: mean=0.0000, variance=0.000000
  delta_z_recall: mean=0.0000, variance=0.000000
  delta_z_overlap: mean=0.0000, variance=0.000000
  confidence_drop_precision: mean=0.2000, variance=0.160000
  confidence_drop_recall: mean=0.2000, variance=0.160000
  confidence_drop_overlap: mean=0.2000, variance=0.160000
  hybrid_precision: mean=0.2000, variance=0.160000
  hybrid_recall: mean=0.2000, variance=0.160000
  hybrid_overlap: mean=0.2000, variance=0.160000
  ulia_known_k_precision: mean=0.4000, variance=0.240000
  ulia_known_k_recall: mean=0.4000, variance=0.240000
  ulia_known_k_overlap: mean=0.4000, variance=0.240000
  ulia_dynamic_precision: mean=0.4000, variance=0.240000
  ulia_dynamic_recall: mean=0.4000, variance=0.240000
  ulia_dynamic_overlap: mean=0.4000, variance=0.240000
  before_exclusive_strength_ratio: mean=0.4389, variance=0.049241
  target_label_feature_coverage: mean=1.0000, variance=0.000000
  clip_concept_coverage: mean=1.0000, variance=0.000000
  clip_concept_precision: mean=0.1365, variance=0.004842
  clip_weighted_coverage: mean=0.8493, variance=0.006095
  feature_overlap@1: mean=0.0000, variance=0.000000
  feature_overlap@5: mean=0.2800, variance=0.025600
  feature_overlap@10: mean=0.4600, variance=0.022400






FL retraining ResNet18 summary across seeds:
Range: 1
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.7203, variance=0.096189
  mia_acc_before: mean=0.5895, variance=0.000050
  mia_acc_after: mean=0.5730, variance=0.001405
  feature_vote_precision: mean=0.0000, variance=0.000000
  feature_vote_recall: mean=0.0000, variance=0.000000
  feature_vote_overlap: mean=0.0000, variance=0.000000
  delta_z_precision: mean=0.2000, variance=0.160000
  delta_z_recall: mean=0.2000, variance=0.160000
  delta_z_overlap: mean=0.2000, variance=0.160000
  confidence_drop_precision: mean=0.6000, variance=0.240000
  confidence_drop_recall: mean=0.6000, variance=0.240000
  confidence_drop_overlap: mean=0.6000, variance=0.240000
  hybrid_precision: mean=0.2000, variance=0.160000
  hybrid_recall: mean=0.2000, variance=0.160000
  hybrid_overlap: mean=0.2000, variance=0.160000
  ulia_known_k_precision: mean=0.2000, variance=0.160000
  ulia_known_k_recall: mean=0.2000, variance=0.160000
  ulia_known_k_overlap: mean=0.2000, variance=0.160000
  ulia_dynamic_precision: mean=0.2000, variance=0.160000
  ulia_dynamic_recall: mean=0.2000, variance=0.160000
  ulia_dynamic_overlap: mean=0.2000, variance=0.160000
  before_exclusive_strength_ratio: mean=0.1263, variance=0.020571
