

Hessian unlearning summary across seeds:
Ratio: 0.01
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8702, variance=0.000002
  mia_acc_before: mean=0.5830, variance=0.000167
  mia_acc_after: mean=0.5817, variance=0.000115
  feature_vote_precision: mean=0.4800, variance=0.025600
  feature_vote_recall: mean=0.4800, variance=0.025600
  feature_vote_overlap: mean=0.4800, variance=0.025600
  delta_z_precision: mean=0.5600, variance=0.022400
  delta_z_recall: mean=0.5600, variance=0.022400
  delta_z_overlap: mean=0.5600, variance=0.022400
  confidence_drop_precision: mean=0.6800, variance=0.025600
  confidence_drop_recall: mean=0.6800, variance=0.025600
  confidence_drop_overlap: mean=0.6800, variance=0.025600
  hybrid_precision: mean=0.5600, variance=0.006400
  hybrid_recall: mean=0.5600, variance=0.006400
  hybrid_overlap: mean=0.5600, variance=0.006400
  ulia_known_k_precision: mean=0.5600, variance=0.006400
  ulia_known_k_recall: mean=0.5600, variance=0.006400
  ulia_known_k_overlap: mean=0.5600, variance=0.006400
  ulia_dynamic_precision: mean=0.9000, variance=0.040000
  ulia_dynamic_recall: mean=0.2400, variance=0.006400
  ulia_dynamic_overlap: mean=0.2400, variance=0.006400
  before_exclusive_strength_ratio: mean=0.5549, variance=0.023515
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.8400, variance=0.006400
  clip_concept_precision: mean=0.5317, variance=0.005316
  clip_weighted_coverage: mean=0.7466, variance=0.004731
  feature_overlap@1: mean=0.4000, variance=0.240000
  feature_overlap@5: mean=0.6000, variance=0.016000
  feature_overlap@10: mean=0.7000, variance=0.012000



Hessian unlearning summary across seeds:
Ratio: 0.02
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8703, variance=0.000002
  mia_acc_before: mean=0.5798, variance=0.000015
  mia_acc_after: mean=0.5866, variance=0.000034
  feature_vote_precision: mean=0.5600, variance=0.006400
  feature_vote_recall: mean=0.5600, variance=0.006400
  feature_vote_overlap: mean=0.5600, variance=0.006400
  delta_z_precision: mean=0.5600, variance=0.022400
  delta_z_recall: mean=0.5600, variance=0.022400
  delta_z_overlap: mean=0.5600, variance=0.022400
  confidence_drop_precision: mean=0.6800, variance=0.025600
  confidence_drop_recall: mean=0.6800, variance=0.025600
  confidence_drop_overlap: mean=0.6800, variance=0.025600
  hybrid_precision: mean=0.6400, variance=0.006400
  hybrid_recall: mean=0.6400, variance=0.006400
  hybrid_overlap: mean=0.6400, variance=0.006400
  ulia_known_k_precision: mean=0.5600, variance=0.006400
  ulia_known_k_recall: mean=0.5600, variance=0.006400
  ulia_known_k_overlap: mean=0.5600, variance=0.006400
  ulia_dynamic_precision: mean=0.9000, variance=0.040000
  ulia_dynamic_recall: mean=0.2400, variance=0.006400
  ulia_dynamic_overlap: mean=0.2400, variance=0.006400
  before_exclusive_strength_ratio: mean=0.4857, variance=0.051532
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.8000, variance=0.016000
  clip_concept_precision: mean=0.5639, variance=0.004444
  clip_weighted_coverage: mean=0.7066, variance=0.010124
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.5200, variance=0.041600
  feature_overlap@10: mean=0.7200, variance=0.001600


Hessian unlearning summary across seeds:
Ratio: 0.03
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8701, variance=0.000003
  mia_acc_before: mean=0.5830, variance=0.000092
