method,range,acc_after,acc_after_std,acc_after_variance,acc_before,acc_before_std,acc_before_variance,before_exclusive_strength_ratio,before_exclusive_strength_ratio_std,before_exclusive_strength_ratio_variance,clip_concept_coverage,clip_concept_coverage_std,clip_concept_coverage_variance,clip_concept_precision,clip_concept_precision_std,clip_concept_precision_variance,confidence_drop_overlap,confidence_drop_overlap_std,confidence_drop_overlap_variance,confidence_drop_precision,confidence_drop_precision_std,confidence_drop_precision_variance,confidence_drop_recall,confidence_drop_recall_std,confidence_drop_recall_variance,delta_z_overlap,delta_z_overlap_std,delta_z_overlap_variance,delta_z_precision,delta_z_precision_std,delta_z_precision_variance,delta_z_recall,delta_z_recall_std,delta_z_recall_variance,feature_overlap@1,feature_overlap@1_std,feature_overlap@1_variance,feature_overlap@10,feature_overlap@10_std,feature_overlap@10_variance,feature_overlap@5,feature_overlap@5_std,feature_overlap@5_variance,feature_vote_overlap,feature_vote_overlap_std,feature_vote_overlap_variance,feature_vote_precision,feature_vote_precision_std,feature_vote_precision_variance,feature_vote_recall,feature_vote_recall_std,feature_vote_recall_variance,mia_acc_after,mia_acc_after_std,mia_acc_after_variance,mia_acc_before,mia_acc_before_std,mia_acc_before_variance,target_label_feature_coverage,target_label_feature_coverage_std,target_label_feature_coverage_variance,ulia_dynamic_overlap,ulia_dynamic_overlap_std,ulia_dynamic_overlap_variance,ulia_dynamic_precision,ulia_dynamic_precision_std,ulia_dynamic_precision_variance,ulia_dynamic_recall,ulia_dynamic_recall_std,ulia_dynamic_recall_variance,ulia_known_k_overlap,ulia_known_k_overlap_std,ulia_known_k_overlap_variance,ulia_known_k_precision,ulia_known_k_precision_std,ulia_known_k_precision_variance,ulia_known_k_recall,ulia_known_k_recall_std,ulia_known_k_recall_variance
RFU,1,0.8662,0.001,1e-06,0.8673,0.0,0.0,0.4389,0.2219031320193566,0.049241,1.0,0.0,0.0,0.1365,0.06958448102845921,0.004842,0.2,0.4,0.16,0.2,0.4,0.16,0.2,0.4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.14966629547095767,0.0224,0.28,0.16,0.0256,0.2,0.4,0.16,0.2,0.4,0.16,0.2,0.4,0.16,0.5846,0.00469041575982343,2.2e-05,0.5909,0.00479583152331272,2.3e-05,1.0,0.0,0.0,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24
RFU,2,0.8663,0.001,1e-06,0.8673,0.0,0.0,0.7356,0.08571464285639882,0.007347,1.0,0.0,0.0,0.2299,0.05047771785649585,0.002548,0.6,0.2,0.04,0.6,0.2,0.04,0.6,0.2,0.04,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.54,0.13564659966250536,0.0184,0.48,0.09797958971132711,0.0096,0.3,0.2449489742783178,0.06,0.3,0.2449489742783178,0.06,0.3,0.2449489742783178,0.06,0.5867,0.004242640687119285,1.8e-05,0.5814,0.005744562646538029,3.3e-05,1.0,0.0,0.0,0.6,0.2,0.04,1.0,0.0,0.0,0.6,0.2,0.04,0.8,0.2449489742783178,0.06,0.8,0.2449489742783178,0.06,0.8,0.2449489742783178,0.06
RFU,3,0.8667,0.0,0.0,0.8673,0.0,0.0,0.5084,0.08518802732778827,0.007257,1.0,0.0,0.0,0.434,0.05820652884342099,0.003388,0.6667,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.2,0.4,0.16,0.6,0.08944271909999159,0.008,0.6,0.25298221281347033,0.064,0.4667,0.16330033680308195,0.026667,0.4667,0.16330033680308195,0.026667,0.4667,0.16330033680308195,0.026667,0.5686,0.0024494897427831783,6e-06,0.5864,0.006244997998398398,3.9e-05,1.0,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,0.0,0.3333,0.0,0.0,0.6667,0.21081745658270332,0.044444,0.6667,0.21081745658270332,0.044444,0.6667,0.21081745658270332,0.044444
RFU,4,0.8682,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.6098,0.1908874013653075,0.036438,0.9,0.1224744871391589,0.015,0.4667,0.06894200461257273,0.004753,0.85,0.1224744871391589,0.015,0.85,0.1224744871391589,0.015,0.85,0.1224744871391589,0.015,0.7,0.1,0.01,0.7,0.1,0.01,0.7,0.1,0.01,0.4,0.4898979485566356,0.24,0.66,0.13564659966250536,0.0184,0.64,0.08,0.0064,0.5,0.15811388300841897,0.025,0.5,0.15811388300841897,0.025,0.5,0.15811388300841897,0.025,0.5791,0.007211102550927978,5.2e-05,0.583,0.005567764362830022,3.1e-05,1.0,0.0,0.0,0.35,0.1224744871391589,0.015,0.9,0.2,0.04,0.35,0.1224744871391589,0.015,0.55,0.1,0.01,0.55,0.1,0.01,0.55,0.1,0.01
RFU,5,0.8688,0.001,1e-06,0.8673,0.0,0.0,0.5749,0.2746179163856575,0.075415,0.8,0.21908902300206645,0.048,0.5622,0.05604462507680821,0.003141,0.76,0.19595917942265423,0.0384,0.76,0.19595917942265423,0.0384,0.76,0.19595917942265423,0.0384,0.6,0.12649110640673517,0.016,0.6,0.12649110640673517,0.016,0.6,0.12649110640673517,0.016,0.0,0.0,0.0,0.68,0.132664991614216,0.0176,0.48,0.09797958971132711,0.0096,0.48,0.09797958971132711,0.0096,0.5333,0.11155267813907473,0.012444,0.48,0.09797958971132711,0.0096,0.5778,0.012369316876852983,0.000153,0.5806,0.00848528137423857,7.2e-05,0.96,0.08,0.0064,0.28,0.09797958971132711,0.0096,1.0,0.0,0.0,0.28,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096
Hessian,1,0.8701,0.0017320508075688774,3e-06,0.8673,0.0,0.0,0.4869,0.16121414330014597,0.02599,0.6,0.4898979485566356,0.24,0.0495,0.04944694126030447,0.002445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4898979485566356,0.24,0.46,0.13564659966250536,0.0184,0.4,0.21908902300206645,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.00608276253029822,3.7e-05,0.5866,0.005744562646538029,3.3e-05,1.0,0.0,0.0,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24,0.4,0.4898979485566356,0.24
Hessian,2,0.8705,0.0017320508075688774,3e-06,0.8673,0.0,0.0,0.5185,0.27667128510201416,0.076547,0.8,0.4,0.16,0.1241,0.06854925236645547,0.004699,0.1,0.2,0.04,0.1,0.2,0.04,0.1,0.2,0.04,0.1,0.2,0.04,0.1,0.2,0.04,0.1,0.2,0.04,0.6,0.4898979485566356,0.24,0.44,0.04898979485566356,0.0024,0.44,0.08,0.0064,0.1,0.2,0.04,0.1,0.2,0.04,0.1,0.2,0.04,0.5806,0.01131370849898476,0.000128,0.5809,0.006164414002968977,3.8e-05,1.0,0.0,0.0,0.4,0.2,0.04,0.6,0.37416573867739417,0.14,0.4,0.2,0.04,0.6,0.2,0.04,0.6,0.2,0.04,0.6,0.2,0.04
Hessian,3,0.8703,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.5138,0.181810340740014,0.033055,0.8667,0.16330033680308195,0.026667,0.3425,0.12467958934805648,0.015545,0.2,0.16330033680308195,0.026667,0.2,0.16330033680308195,0.026667,0.2,0.16330033680308195,0.026667,0.4,0.1333341666640625,0.017778,0.4,0.1333341666640625,0.017778,0.4,0.1333341666640625,0.017778,0.4,0.4898979485566356,0.24,0.56,0.12,0.0144,0.48,0.09797958971132711,0.0096,0.4,0.24944338034912852,0.062222,0.4,0.24944338034912852,0.062222,0.4,0.24944338034912852,0.062222,0.5824,0.01044030650891055,0.000109,0.5802,0.006855654600401044,4.7e-05,1.0,0.0,0.0,0.2667,0.1333341666640625,0.017778,0.5,0.31622776601683794,0.1,0.2667,0.1333341666640625,0.017778,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0
Hessian,4,0.8702,0.0017320508075688774,3e-06,0.8673,0.0,0.0,0.5348,0.13651007288841363,0.018635,0.75,0.15811388300841897,0.025,0.3976,0.056142675390472796,0.003152,0.55,0.18708286933869708,0.035,0.55,0.18708286933869708,0.035,0.55,0.18708286933869708,0.035,0.55,0.1,0.01,0.55,0.1,0.01,0.55,0.1,0.01,0.2,0.4,0.16,0.58,0.16,0.0256,0.36,0.233238075793812,0.0544,0.25,0.22360679774997896,0.05,0.25,0.22360679774997896,0.05,0.25,0.22360679774997896,0.05,0.5803,0.009000000000000001,8.1e-05,0.5851,0.007937253933193772,6.3e-05,1.0,0.0,0.0,0.2,0.1,0.01,0.5,0.31622776601683794,0.1,0.2,0.1,0.01,0.4,0.1224744871391589,0.015,0.4,0.1224744871391589,0.015,0.4,0.1224744871391589,0.015
Hessian,5,0.8702,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.5549,0.15334601396841066,0.023515,0.84,0.08,0.0064,0.5317,0.07291090453423274,0.005316,0.68,0.16,0.0256,0.68,0.16,0.0256,0.68,0.16,0.0256,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.4,0.4898979485566356,0.24,0.7,0.10954451150103323,0.012,0.6,0.12649110640673517,0.016,0.48,0.16,0.0256,0.48,0.16,0.0256,0.48,0.16,0.0256,0.5817,0.010723805294763609,0.000115,0.583,0.012922847983320085,0.000167,0.96,0.08,0.0064,0.24,0.08,0.0064,0.9,0.2,0.04,0.24,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064
