method,ratio,acc_after,acc_after_std,acc_after_variance,acc_before,acc_before_std,acc_before_variance,before_exclusive_strength_ratio,before_exclusive_strength_ratio_std,before_exclusive_strength_ratio_variance,clip_concept_coverage,clip_concept_coverage_std,clip_concept_coverage_variance,clip_concept_precision,clip_concept_precision_std,clip_concept_precision_variance,confidence_drop_overlap,confidence_drop_overlap_std,confidence_drop_overlap_variance,confidence_drop_precision,confidence_drop_precision_std,confidence_drop_precision_variance,confidence_drop_recall,confidence_drop_recall_std,confidence_drop_recall_variance,delta_z_overlap,delta_z_overlap_std,delta_z_overlap_variance,delta_z_precision,delta_z_precision_std,delta_z_precision_variance,delta_z_recall,delta_z_recall_std,delta_z_recall_variance,feature_overlap@1,feature_overlap@1_std,feature_overlap@1_variance,feature_overlap@10,feature_overlap@10_std,feature_overlap@10_variance,feature_overlap@5,feature_overlap@5_std,feature_overlap@5_variance,feature_vote_overlap,feature_vote_overlap_std,feature_vote_overlap_variance,feature_vote_precision,feature_vote_precision_std,feature_vote_precision_variance,feature_vote_recall,feature_vote_recall_std,feature_vote_recall_variance,mia_acc_after,mia_acc_after_std,mia_acc_after_variance,mia_acc_before,mia_acc_before_std,mia_acc_before_variance,target_label_feature_coverage,target_label_feature_coverage_std,target_label_feature_coverage_variance,ulia_dynamic_overlap,ulia_dynamic_overlap_std,ulia_dynamic_overlap_variance,ulia_dynamic_precision,ulia_dynamic_precision_std,ulia_dynamic_precision_variance,ulia_dynamic_recall,ulia_dynamic_recall_std,ulia_dynamic_recall_variance,ulia_known_k_overlap,ulia_known_k_overlap_std,ulia_known_k_overlap_variance,ulia_known_k_precision,ulia_known_k_precision_std,ulia_known_k_precision_variance,ulia_known_k_recall,ulia_known_k_recall_std,ulia_known_k_recall_variance
RFU,0.01,0.8688,0.001,1e-06,0.8673,0.0,0.0,0.5749,0.2746179163856575,0.075415,0.8,0.21908902300206645,0.048,0.5622,0.05604462507680821,0.003141,0.76,0.19595917942265423,0.0384,0.76,0.19595917942265423,0.0384,0.76,0.19595917942265423,0.0384,0.6,0.12649110640673517,0.016,0.6,0.12649110640673517,0.016,0.6,0.12649110640673517,0.016,0.0,0.0,0.0,0.68,0.132664991614216,0.0176,0.48,0.09797958971132711,0.0096,0.48,0.09797958971132711,0.0096,0.5333,0.11155267813907473,0.012444,0.48,0.09797958971132711,0.0096,0.5778,0.012369316876852983,0.000153,0.5806,0.00848528137423857,7.2e-05,0.96,0.08,0.0064,0.28,0.09797958971132711,0.0096,1.0,0.0,0.0,0.28,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096
RFU,0.02,0.8684,0.0017320508075688774,3e-06,0.8673,0.0,0.0,0.3386,0.11284945724282416,0.012735,0.72,0.2039607805437114,0.0416,0.5789,0.10979070998950685,0.012054,0.8,0.12649110640673517,0.016,0.8,0.12649110640673517,0.016,0.8,0.12649110640673517,0.016,0.68,0.16,0.0256,0.68,0.16,0.0256,0.68,0.16,0.0256,0.2,0.4,0.16,0.7,0.10954451150103323,0.012,0.64,0.14966629547095767,0.0224,0.44,0.08,0.0064,0.44,0.08,0.0064,0.44,0.08,0.0064,0.5856,0.006324555320336759,4e-05,0.5807,0.007416198487095663,5.5e-05,0.96,0.08,0.0064,0.24,0.08,0.0064,1.0,0.0,0.0,0.24,0.08,0.0064,0.64,0.19595917942265423,0.0384,0.64,0.19595917942265423,0.0384,0.64,0.19595917942265423,0.0384
RFU,0.03,0.8672,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.4719,0.1977953487825232,0.039123,0.72,0.16,0.0256,0.5183,0.07608547824650903,0.005789,0.88,0.09797958971132711,0.0096,0.88,0.09797958971132711,0.0096,0.88,0.09797958971132711,0.0096,0.72,0.09797958971132711,0.0096,0.72,0.09797958971132711,0.0096,0.72,0.09797958971132711,0.0096,0.4,0.4898979485566356,0.24,0.72,0.132664991614216,0.0176,0.68,0.24,0.0576,0.48,0.09797958971132711,0.0096,0.48,0.09797958971132711,0.0096,0.48,0.09797958971132711,0.0096,0.5841,0.00458257569495584,2.1e-05,0.5873,0.008888194417315589,7.9e-05,0.96,0.08,0.0064,0.36,0.08,0.0064,1.0,0.0,0.0,0.36,0.08,0.0064,0.6,0.12649110640673517,0.016,0.6,0.12649110640673517,0.016,0.6,0.12649110640673517,0.016
RFU,0.04,0.8667,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.4863,0.10868762579061152,0.011813,0.84,0.14966629547095767,0.0224,0.5556,0.0929623579735368,0.008642,0.92,0.09797958971132711,0.0096,0.92,0.09797958971132711,0.0096,0.92,0.09797958971132711,0.0096,0.72,0.09797958971132711,0.0096,0.72,0.09797958971132711,0.0096,0.72,0.09797958971132711,0.0096,0.6,0.4898979485566356,0.24,0.7,0.10954451150103323,0.012,0.52,0.16,0.0256,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.5827,0.0058309518948453,3.4e-05,0.5832,0.0058309518948453,3.4e-05,0.96,0.08,0.0064,0.28,0.09797958971132711,0.0096,0.9,0.2,0.04,0.28,0.09797958971132711,0.0096,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224
RFU,0.05,0.8674,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.403,0.18443698110736903,0.034017,0.8,0.25298221281347033,0.064,0.5844,0.059874869519690815,0.003585,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.68,0.16,0.0256,0.68,0.16,0.0256,0.68,0.16,0.0256,0.2,0.4,0.16,0.66,0.04898979485566356,0.0024,0.6,0.17888543819998318,0.032,0.44,0.233238075793812,0.0544,0.44,0.233238075793812,0.0544,0.44,0.233238075793812,0.0544,0.5792,0.00412310562561766,1.7e-05,0.5822,0.007937253933193772,6.3e-05,0.96,0.08,0.0064,0.28,0.09797958971132711,0.0096,1.0,0.0,0.0,0.28,0.09797958971132711,0.0096,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0
Hessian,0.01,0.8702,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.5549,0.15334601396841066,0.023515,0.84,0.08,0.0064,0.5317,0.07291090453423274,0.005316,0.68,0.16,0.0256,0.68,0.16,0.0256,0.68,0.16,0.0256,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.4,0.4898979485566356,0.24,0.7,0.10954451150103323,0.012,0.6,0.12649110640673517,0.016,0.48,0.16,0.0256,0.48,0.16,0.0256,0.48,0.16,0.0256,0.5817,0.010723805294763609,0.000115,0.583,0.012922847983320085,0.000167,0.96,0.08,0.0064,0.24,0.08,0.0064,0.9,0.2,0.04,0.24,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064
Hessian,0.02,0.8703,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.4857,0.2270066078333404,0.051532,0.8,0.12649110640673517,0.016,0.5639,0.06666333324999583,0.004444,0.68,0.16,0.0256,0.68,0.16,0.0256,0.68,0.16,0.0256,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.2,0.4,0.16,0.72,0.04,0.0016,0.52,0.2039607805437114,0.0416,0.56,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064,0.5866,0.0058309518948453,3.4e-05,0.5798,0.003872983346207417,1.5e-05,0.96,0.08,0.0064,0.24,0.08,0.0064,0.9,0.2,0.04,0.24,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064
Hessian,0.03,0.8701,0.0017320508075688774,3e-06,0.8673,0.0,0.0,0.4181,0.2333473805295444,0.054451,0.76,0.14966629547095767,0.0224,0.4894,0.05890670590009257,0.00347,0.68,0.16,0.0256,0.68,0.16,0.0256,0.68,0.16,0.0256,0.48,0.16,0.0256,0.48,0.16,0.0256,0.48,0.16,0.0256,0.6,0.4898979485566356,0.24,0.6,0.08944271909999159,0.008,0.52,0.2039607805437114,0.0416,0.52,0.16,0.0256,0.52,0.16,0.0256,0.52,0.16,0.0256,0.5808,0.014177446878757825,0.000201,0.583,0.00959166304662544,9.2e-05,0.92,0.09797958971132711,0.0096,0.24,0.08,0.0064,0.9,0.2,0.04,0.24,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064
Hessian,0.05,0.8702,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.5784,0.23318018783764627,0.054373,0.72,0.2039607805437114,0.0416,0.523,0.08095677859203639,0.006554,0.68,0.16,0.0256,0.68,0.16,0.0256,0.68,0.16,0.0256,0.48,0.2039607805437114,0.0416,0.48,0.2039607805437114,0.0416,0.48,0.2039607805437114,0.0416,0.2,0.4,0.16,0.66,0.13564659966250536,0.0184,0.6,0.21908902300206645,0.048,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.5845,0.008306623862918075,6.9e-05,0.5806,0.005567764362830022,3.1e-05,0.96,0.08,0.0064,0.24,0.08,0.0064,0.9,0.2,0.04,0.24,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064,0.56,0.08,0.0064
Hessian,0.05,0.8701,0.001414213562373095,2e-06,0.8673,0.0,0.0,0.5178,0.18480259738434415,0.034152,0.88,0.09797958971132711,0.0096,0.5944,0.06479197481170025,0.004198,0.64,0.14966629547095767,0.0224,0.64,0.14966629547095767,0.0224,0.64,0.14966629547095767,0.0224,0.48,0.2039607805437114,0.0416,0.48,0.2039607805437114,0.0416,0.48,0.2039607805437114,0.0416,0.6,0.4898979485566356,0.24,0.64,0.1019803902718557,0.0104,0.48,0.16,0.0256,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.56,0.14966629547095767,0.0224,0.5788,0.012369316876852983,0.000153,0.5823,0.00565685424949238,3.2e-05,1.0,0.0,0.0,0.28,0.09797958971132711,0.0096,0.9,0.2,0.04,0.28,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096,0.52,0.09797958971132711,0.0096
