Hessian unlearning summary across seeds:
Ratio: 0.01
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5581, variance=0.000004
  mia_acc_before: mean=0.6671, variance=0.000035
  mia_acc_after: mean=0.6628, variance=0.000031
  feature_vote_precision: mean=0.0800, variance=0.009600
  feature_vote_recall: mean=0.0800, variance=0.009600
  feature_vote_overlap: mean=0.0800, variance=0.009600
  delta_z_precision: mean=0.0400, variance=0.006400
  delta_z_recall: mean=0.0400, variance=0.006400
  delta_z_overlap: mean=0.0400, variance=0.006400
  confidence_drop_precision: mean=0.0000, variance=0.000000
  confidence_drop_recall: mean=0.0000, variance=0.000000
  confidence_drop_overlap: mean=0.0000, variance=0.000000
  hybrid_precision: mean=0.0400, variance=0.006400
  hybrid_recall: mean=0.0400, variance=0.006400
  hybrid_overlap: mean=0.0400, variance=0.006400
  ulia_known_k_precision: mean=0.1600, variance=0.006400
  ulia_known_k_recall: mean=0.1600, variance=0.006400
  ulia_known_k_overlap: mean=0.1600, variance=0.006400
  ulia_dynamic_precision: mean=0.1600, variance=0.006400
  ulia_dynamic_recall: mean=0.1600, variance=0.006400
  ulia_dynamic_overlap: mean=0.1600, variance=0.006400
  before_exclusive_strength_ratio: mean=0.7063, variance=0.037061
  target_label_feature_coverage: mean=0.5200, variance=0.025600
  clip_concept_coverage: mean=0.2800, variance=0.009600
  clip_concept_precision: mean=0.0731, variance=0.000408
  clip_weighted_coverage: mean=0.2524, variance=0.008783
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.3200, variance=0.009600
  feature_overlap@10: mean=0.3800, variance=0.005600



Hessian unlearning summary across seeds:
Ratio: 0.02
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5584, variance=0.000003
  mia_acc_before: mean=0.6742, variance=0.000064
  mia_acc_after: mean=0.6707, variance=0.000011
  feature_vote_precision: mean=0.0400, variance=0.006400
  feature_vote_recall: mean=0.0400, variance=0.006400
  feature_vote_overlap: mean=0.0400, variance=0.006400
  delta_z_precision: mean=0.0800, variance=0.009600
  delta_z_recall: mean=0.0800, variance=0.009600
  delta_z_overlap: mean=0.0800, variance=0.009600
  confidence_drop_precision: mean=0.0000, variance=0.000000
  confidence_drop_recall: mean=0.0000, variance=0.000000
  confidence_drop_overlap: mean=0.0000, variance=0.000000
  hybrid_precision: mean=0.0400, variance=0.006400
  hybrid_recall: mean=0.0400, variance=0.006400
  hybrid_overlap: mean=0.0400, variance=0.006400
  ulia_known_k_precision: mean=0.1200, variance=0.009600
  ulia_known_k_recall: mean=0.1200, variance=0.009600
