method,range,acc_after,acc_after_std,acc_after_variance,acc_before,acc_before_std,acc_before_variance,before_exclusive_strength_ratio,before_exclusive_strength_ratio_std,before_exclusive_strength_ratio_variance,clip_concept_coverage,clip_concept_coverage_std,clip_concept_coverage_variance,clip_concept_precision,clip_concept_precision_std,clip_concept_precision_variance,confidence_drop_overlap,confidence_drop_overlap_std,confidence_drop_overlap_variance,confidence_drop_precision,confidence_drop_precision_std,confidence_drop_precision_variance,confidence_drop_recall,confidence_drop_recall_std,confidence_drop_recall_variance,delta_z_overlap,delta_z_overlap_std,delta_z_overlap_variance,delta_z_precision,delta_z_precision_std,delta_z_precision_variance,delta_z_recall,delta_z_recall_std,delta_z_recall_variance,feature_overlap@1,feature_overlap@1_std,feature_overlap@1_variance,feature_overlap@10,feature_overlap@10_std,feature_overlap@10_variance,feature_overlap@5,feature_overlap@5_std,feature_overlap@5_variance,mia_acc_after,mia_acc_after_std,mia_acc_after_variance,mia_acc_before,mia_acc_before_std,mia_acc_before_variance,target_label_feature_coverage,target_label_feature_coverage_std,target_label_feature_coverage_variance
RFU,1,0.6376,0.001414213562373095,2e-06,0.6452,0.0,0.0,0.5232,0.028089143810376277,0.000789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.16,0.8,0.4,0.16,0.8,0.4,0.16,0.0,0.0,0.0,0.54,0.14966629547095767,0.0224,0.48,0.16,0.0256,0.7315,0.00714142842854285,5.1e-05,0.7348,0.00648074069840786,4.2e-05,0.0,0.0,0.0
RFU,3,0.6374,0.001,1e-06,0.6452,0.0,0.0,0.5079,0.0753060422542574,0.005671,0.2,0.16330033680308195,0.026667,0.0578,0.04988987873306569,0.002489,0.2667,0.1333341666640625,0.017778,0.2667,0.1333341666640625,0.017778,0.2667,0.1333341666640625,0.017778,0.0667,0.1333341666640625,0.017778,0.0667,0.1333341666640625,0.017778,0.0667,0.1333341666640625,0.017778,0.2,0.4,0.16,0.4,0.06324555320336758,0.004,0.2,0.12649110640673517,0.016,0.7325,0.003605551275463989,1.3e-05,0.7362,0.006855654600401044,4.7e-05,0.2,0.16330033680308195,0.026667
RFU,5,0.6375,0.0017320508075688774,3e-06,0.6452,0.0,0.0,0.4638,0.12177027551911015,0.014828,0.08,0.16,0.0256,0.0444,0.08888756943465155,0.007901,0.08,0.09797958971132711,0.0096,0.08,0.09797958971132711,0.0096,0.08,0.09797958971132711,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4898979485566356,0.24,0.28,0.04,0.0016,0.2,0.12649110640673517,0.016,0.7314,0.005916079783099616,3.5e-05,0.7346,0.006403124237432849,4.1e-05,0.12,0.16,0.0256
RFU,7,0.6372,0.001414213562373095,2e-06,0.6452,0.0,0.0,0.3448,0.1439618004888797,0.020725,0.2571,0.24578038977916852,0.060408,0.1322,0.11024064586167845,0.012153,0.1714,0.05714017850864661,0.003265,0.1714,0.05714017850864661,0.003265,0.1714,0.05714017850864661,0.003265,0.1143,0.05714017850864661,0.003265,0.1143,0.05714017850864661,0.003265,0.1143,0.05714017850864661,0.003265,0.0,0.0,0.0,0.4,0.1673320053068151,0.028,0.2,0.12649110640673517,0.016,0.7331,0.005099019513592784,2.6e-05,0.7358,0.006855654600401044,4.7e-05,0.3143,0.2285716517856053,0.052245
RFU,9,0.6374,0.001414213562373095,2e-06,0.6452,0.0,0.0,0.3826,0.10510470969466591,0.011047,0.1556,0.21773148600971795,0.047407,0.1111,0.14054536634126363,0.019753,0.1778,0.054433445601027315,0.002963,0.1778,0.054433445601027315,0.002963,0.1778,0.054433445601027315,0.002963,0.1333,0.04444097208657795,0.001975,0.1333,0.04444097208657795,0.001975,0.1333,0.04444097208657795,0.001975,0.0,0.0,0.0,0.36,0.13564659966250536,0.0184,0.32,0.16,0.0256,0.7315,0.003605551275463989,1.3e-05,0.7342,0.00412310562561766,1.7e-05,0.2222,0.23306865941177077,0.054321
Hessian,1,0.6392,0.001414213562373095,2e-06,0.6452,0.0,0.0,0.2521,0.13952419145080183,0.019467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.08944271909999159,0.008,0.52,0.24,0.0576,0.7295,0.011224972160321825,0.000126,0.734,0.007416198487095663,5.5e-05,0.2,0.4,0.16
Hessian,3,0.6389,0.001414213562373095,2e-06,0.6452,0.0,0.0,0.2259,0.13013454575937936,0.016935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.16,0.38,0.17204650534085253,0.0296,0.24,0.08,0.0064,0.7285,0.00458257569495584,2.1e-05,0.7357,0.005,2.5e-05,0.2,0.2666664583332519,0.071111
Hessian,5,0.6389,0.001414213562373095,2e-06,0.6452,0.0,0.0,0.2344,0.14659467930317252,0.02149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.20591260281974,0.0424,0.28,0.16,0.0256,0.7286,0.006164414002968977,3.8e-05,0.7355,0.005477225575051661,3e-05,0.12,0.16,0.0256
Hessian,7,0.6389,0.001414213562373095,2e-06,0.6452,0.0,0.0,0.2383,0.13565028566132842,0.018401,0.0286,0.05714017850864661,0.003265,0.0222,0.04444097208657795,0.001975,0.0286,0.05714017850864661,0.003265,0.0286,0.05714017850864661,0.003265,0.0286,0.05714017850864661,0.003265,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898,0.0857,0.06998571282769077,0.004898,0.0,0.0,0.0,0.32,0.116619037896906,0.0136,0.08,0.09797958971132711,0.0096,0.7304,0.007280109889280518,5.3e-05,0.7366,0.0074833147735478825,5.6e-05,0.2,0.21380832537579073,0.045714
Hessian,9,0.6389,0.001414213562373095,2e-06,0.6452,0.0,0.0,0.3186,0.1681755035669583,0.028283,0.0222,0.04444097208657795,0.001975,0.0133,0.026664583251946768,0.000711,0.0444,0.054433445601027315,0.002963,0.0444,0.054433445601027315,0.002963,0.0444,0.054433445601027315,0.002963,0.0667,0.054433445601027315,0.002963,0.0667,0.054433445601027315,0.002963,0.0667,0.054433445601027315,0.002963,0.0,0.0,0.0,0.32,0.116619037896906,0.0136,0.32,0.09797958971132711,0.0096,0.7301,0.0017320508075688774,3e-06,0.7339,0.003605551275463989,1.3e-05,0.2222,0.1571337010319556,0.024691
